SL.VISS  	45.80330	 14.83930	 399.0
IV.APEC  	43.55846	 12.41991	 488.0
Z3.A286A 	45.36600	  8.83380	 170.0
YW.ARGT  	45.49400	  6.31336	 414.0
Z3.A146A 	48.29280	 12.97500	 464.0
ZS.D015  	46.57623	 13.39008	1449.0
ZS.D014  	46.54446	 13.20541	1175.0
ZS.D017  	46.63004	 13.75298	 808.0
ZS.D016  	46.60730	 13.58423	 769.0
ZS.D011  	46.36269	 12.47015	1025.0
Z3.A352A 	49.82140	 11.69030	 452.0
ZS.D013  	46.48088	 13.02387	 548.0
ZS.D012  	46.40031	 12.62498	 886.0
SI.ROSI  	46.92810	 11.41180	1917.0
ZS.D018  	46.68937	 13.96058	 647.0
Z3.A050A 	44.48180	 16.53130	 934.0
Z3.A186B 	44.79300	  5.58920	 978.0
CZ.JAVC  	48.85910	 17.67070	 828.0
XT.AAE29 	48.09001	 13.44779	 611.0
Z3.A104C 	48.12663	  9.65659	 698.0
Z3.A273A 	45.91630	 17.81610	 100.0
Z3.A313A 	45.31347	 10.66282	  64.0
Z3.A364A 	48.50214	 11.45389	 477.0
NI.CLUD  	46.45690	 12.88140	 635.0
ZS.D157  	47.39537	 13.83669	1301.0
XT.AAE38 	47.27310	 13.25261	1451.0
XT.AAE39 	47.18602	 13.41937	1542.0
Z3.A015A 	48.93337	 14.99364	 500.0
XT.AAE30 	48.00173	 13.26458	 617.0
XT.AAE31 	47.91304	 13.43606	 667.0
ZS.D058  	46.83814	 13.67112	1262.0
XT.AAE33 	47.72784	 13.43070	 551.0
XT.AAE34 	47.63600	 13.26140	1479.0
GU.STV   	44.24550	  7.32600	 930.0
XT.AAE36 	47.45406	 13.24859	 962.0
XT.AAE37 	47.36774	 13.43730	1019.0
FR.ARBF  	43.49170	  5.33250	 185.0
SL.CADS  	46.22810	 13.73680	 751.0
GU.GSCL  	44.35047	 10.58810	 674.0
FR.CFF   	45.76300	  3.11100	 400.0
G.SSB    	45.27900	  4.54200	 700.0
BW.BE1   	47.91083	 11.22128	 746.0
IV.LMD   	44.07746	 11.70727	 450.0
NI.ACOM  	46.54800	 13.51370	1788.0
GU.RORO  	44.11217	  8.06617	 260.0
ZS.D104  	46.62468	 10.83008	 711.0
Z3.A122A 	48.27849	  7.86785	 326.0
Z3.A061A 	47.09835	  8.92522	 914.0
IV.MSSA  	44.31625	  9.51739	 930.0
Z3.A113A 	49.54596	  8.72964	 359.0
IV.ATMI  	43.33419	 12.26801	 581.0
IV.TEOL  	45.36167	 11.67389	 370.0
NI.AGOR  	46.23290	 12.04720	 631.0
ZS.D161  	47.36778	 14.47257	1218.0
ZS.D160  	47.10195	 14.19271	 994.0
Z3.A335A 	48.44695	 18.33592	 320.0
ZS.D162  	47.54137	 13.93084	 847.0
FR.BOUC  	47.24694	  6.25606	 458.0
XT.AAE48 	46.37960	 13.26980	 426.0
YW.DURI  	45.42100	  6.29108	 643.0
XT.AAE45 	46.63394	 13.41474	 677.0
XT.AAE44 	46.73320	 13.24913	1136.0
OE.BIOA  	47.69130	 13.63830	 614.0
Z3.A080A 	49.68400	 14.92880	 502.0
XT.AAE41 	47.00957	 13.43520	 943.0
XT.AAE40 	47.10448	 13.21346	1369.0
XT.AAE43 	46.84051	 13.43784	 797.0
IV.T1245 	42.85654	 13.18798	1541.0
Z3.A033A 	47.47974	 13.12600	 827.0
FR.ILLK  	48.51599	  7.71682	 144.0
Z3.A072A 	49.46830	 13.17350	 495.0
FR.ILLF  	47.68344	  7.25430	 298.0
FR.SPIF  	44.05580	  7.23660	1380.0
ZS.D044  	46.31763	 11.09209	 789.0
IV.ARCI  	42.85190	 11.47540	1080.0
Z3.A107B 	48.03123	 10.23289	 648.0
OX.ZOU2  	46.55840	 12.97290	1911.0
CH.METMA 	47.71217	  8.25262	 671.0
OE.SQTA  	47.22050	 11.20870	1307.0
IV.MILN  	45.48030	  9.23210	 125.0
Z3.A023A 	48.46082	 14.07072	 587.0
ZS.D001  	45.89906	 10.22494	 259.0
CR.BRJN  	44.90593	 13.75053	   1.0
Z3.A118A 	49.35419	  9.96992	 453.0
Z3.A107C 	48.01939	 10.19977	 667.0
BW.RNON  	47.74050	 12.86710	 555.0
Z3.A251A 	45.12860	 16.26640	 252.0
TH.ZEU   	50.67064	 11.97713	 346.0
ZS.D037  	46.74495	 13.63719	 745.0
OX.CGRP  	45.88060	 11.80470	1757.0
GR.GED5  	48.82379	 13.67969	1079.0
CH.MUGIO 	45.92186	  9.04167	 830.0
NI.FERB  	44.90000	 11.54000	   6.0
ZS.D134  	47.09085	 12.53908	1658.0
FR.TURF  	43.97490	  7.39190	1650.0
Z3.A074A 	49.67150	 13.53090	 385.0
FR.NEUF  	49.32586	  6.02549	 260.0
Z3.A281A 	44.85340	  7.70990	 292.0
Z3.A141A 	47.75280	 11.84900	 839.0
Z3.A368A 	49.12590	 10.54670	 529.0
Z3.A179A 	45.47230	  2.97220	1084.0
Z3.A182A 	44.96950	  2.80690	 880.0
TH.PLN   	50.48522	 12.15733	 432.0
Z3.A405A 	42.41157	  5.30365	-2192.0
Z3.A100A 	48.45300	  8.92609	 508.0
FR.BSTF  	43.80090	  5.64330	 500.0
MN.VLC   	44.15940	 10.38640	 555.0
